Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,34,20.4,600,"250,000",2h,84,7
2,40,24,630,"350,000",3h,103,7
3,48,28.8,660,"520,000",5h,134,7
4,55,33,690,"800,000",12h,207,8
5,64,38.4,730,"1,000,000",18h,254,8
6,75,45,770,"1,200,000",1d,293,8
7,87,52.2,810,"1,500,000",2d,415,9
8,99,59.4,850,"1,600,000",2d 12h,464,10
9,110,66,900,"2,500,000",3d,509,11
10,120,72,980,"5,000,000",7d 18h,818,12
11,130,78,"1,100","7,700,000",8d,831,13
12,140,84,"1,200","9,000,000",8d,831,13
13,150,90,"1,350","12,000,000",13d,"1,059",14
14,160,96,"1,450","19,100,000",13d 12h,"1,080",15
