Level,Damage per Second,Damage per Shot,Hitpoints,Build cost,Build time,Experience Gained,Town Hall Level Required
1,60,7.68,"1,500","1,000,000",2d,415,9
2,70,8.96,"1,900","1,600,000",2d 12h,464,9
3,80,10.24,"2,300","2,400,000",3d 12h,549,9
4,90,11.52,"2,700","2,500,000",5d,657,10
5,110,14.08,"3,100","3,900,000",5d 6h,673,11
6,130,16.64,"3,400","6,800,000",8d 12h,856,12
7,150,19.2,"3,700","8,300,000",9d,881,13
8,170,21.76,"4,000","10,300,000",9d,881,13
9,190,24.32,"4,200","14,000,000",13d,"1,059",14
10,205,26.24,"4,400","20,000,000",13d 18h,"1,089",15
11,225,28.8,"4,600","21,000,000",15d,"1,138",16
