Level,Damage per Second,Damage per Attack,Hitpoints,Research cost,Research time,Laboratory Level Required
1,102,122.4,"1,445","5,000",N/A,7
2,104,124.8,"1,481","5,000",4h,7
3,105,126,"1,518","6,000",6h,7
4,108,129.6,"1,556","7,000",8h,7
5,110,132,"1,595","8,000",10h,7
6,112,134.4,"1,635","9,000",12h,7
7,115,138,"1,675","10,000",14h,7
8,116,139.2,"1,717","11,000",16h,7
9,119,142.8,"1,760","12,000",18h,7
10,122,146.4,"1,805","13,000",20h,7
11,124,148.8,"1,850","14,000",22h,8
12,127,152.4,"1,896","15,000",1d,8
13,129,154.8,"1,943","16,000",1d,8
14,132,158.4,"1,992","17,000",1d,8
15,134,160.8,"2,042","18,500",1d,8
16,137,164.4,"2,093","20,000",1d,8
17,139,166.8,"2,145","21,500",1d 12h,8
18,143,171.6,"2,198","23,000",1d 12h,8
19,145,174,"2,253","24,500",1d 12h,8
20,148,177.6,"2,309","26,000",2d,8
21,151,181.2,"2,367","28,000",2d,9
22,154,184.8,"2,427","29,000",2d,9
23,157,188.4,"2,487","31,000",2d,9
24,161,193.2,"2,549","32,000",2d,9
25,164,196.8,"2,613","34,000",2d 12h,9
26,167,200.4,"2,678","35,000",2d 12h,9
27,170,204,"2,746","37,000",2d 12h,9
28,173,207.6,"2,814","38,000",2d 12h,9
29,177,212.4,"2,885","40,000",2d 12h,9
30,181,217.2,"2,956","41,000",3d,9
31,184,220.8,"3,030","43,000",3d,10
32,188,225.6,"3,107","44,000",3d,10
33,192,230.4,"3,184","46,000",3d,10
34,196,235.2,"3,264","47,000",3d,10
35,200,240,"3,346","49,000",3d 12h,10
36,203,243.6,"3,429","50,000",3d 12h,10
37,207,248.4,"3,515","52,000",3d 12h,10
38,212,254.4,"3,602","53,000",3d 12h,10
39,216,259.2,"3,692","55,000",3d 12h,10
40,220,264,"3,785","56,000",4d,10
41,234,280.8,"3,879","60,000",4d,11
42,239,286.8,"3,976","64,000",4d,11
43,244,292.8,"4,076","68,000",4d,11
44,249,298.8,"4,178","72,000",4d,11
45,254,304.8,"4,282","76,000",5d,11
46,259,310.8,"4,389","80,000",5d,11
47,265,318,"4,499","84,000",5d,11
48,270,324,"4,611","88,000",5d,11
49,276,331.2,"4,727","92,000",5d,11
50,282,338.4,"4,845","96,000",5d,11
51,288,345.6,"4,967","100,000",5d 12h,12
52,294,352.8,"5,092","105,000",5d 12h,12
53,300,360,"5,219","110,000",5d 12h,12
54,307,368.4,"5,350","115,000",5d 12h,12
55,314,376.8,"5,484","120,000",5d 12h,12
56,320,384,"5,622","125,000",5d 18h,12
57,327,392.4,"5,763","130,000",5d 18h,12
58,334,400.8,"5,908","135,000",5d 18h,12
59,341,409.2,"6,055","140,000",5d 18h,12
60,349,418.8,"6,208","145,000",5d 18h,12
61,355,426,"6,363","150,000",6d,12
62,362,434.4,"6,522","155,000",6d,12
63,370,444,"6,685","160,000",6d,12
64,377,452.4,"6,853","165,000",6d,12
65,385,462,"7,024","170,000",6d,12
66,393,471.6,"7,200","175,000",6d 12h,13
67,400,480,"7,378","180,000",6d 12h,13
68,408,489.6,"7,557","185,000",6d 12h,13
69,417,500.4,"7,735","190,000",6d 12h,13
70,425,510,"7,905","195,000",6d 12h,13
71,434,520.8,"8,075","200,000",7d,13
72,442,530.4,"8,245","205,000",7d,13
73,451,541.2,"8,415","210,000",7d,13
74,459,550.8,"8,585","215,000",7d,13
75,468,561.6,"8,755","220,000",7d,13
76,475,570,"8,917","225,000",7d 12h,14
77,483,579.6,"9,078","230,000",7d 12h,14
78,490,588,"9,240","235,000",7d 12h,14
79,498,597.6,"9,401","240,000",7d 12h,14
80,506,607.2,"9,563","245,000",7d 12h,14
81,513,615.6,"9,690","250,000",8d,15
82,519,622.8,"9,818","255,000",8d,15
83,526,631.2,"9,945","260,000",8d,15
84,533,639.6,"10,073","265,000",8d,15
85,540,648,"10,200","270,000",8d,15
86,547,656.4,"10,328","275,000",8d,15
87,553,663.6,"10,455","278,000",8d,15
88,560,672,"10,583","280,000",8d,15
89,567,680.4,"10,710","282,000",8d,15
90,574,688.8,"10,838","285,000",8d,15
91,581,697.2,"10,965","290,000",8d,16
92,587,704.4,"11,093","300,000",8d,16
93,594,712.8,"11,220","310,000",8d,16
94,601,721.2,"11,348","320,000",8d,16
95,608,729.6,"11,475","330,000",8d,16
